House Name,Price,Room Type,Area,Price per m2,Sun Direction,Floor Level,Furnishing,Review,Year Built,Lift,Property Quality,Residence Type,Building Structure,Building Type,Leasing Date
万柳（200平）万城华府海园4室，挑空客厅，可谈，车位,7200,4室3厅3卫,285.53,252163,南北,底层,精装修,8.3,2006,有,个人产权,普通住宅,平层,砖楼,2023-06-11
〖观山水美景〗+〖一梯一户〗+可谈+给周期+人车分流,1890,3室2厅2卫,207,91304,南北,高层,简装修,6.9,2005,有,个人产权,普通住宅,平层,板楼,2023-07-03
〖两居双卫〗+〖无遮挡〗+紫竹院公园+可谈+人车分流,1380,2室2厅2卫,130,106154,西南,中层,简装修,6.9,2001,有,个人产权,普通住宅,平层,塔楼,2023-06-24
〖有钥匙〗+〖两梯两户〗+大平层+有车位+无遮挡,1280,暂无,245,52245,西,低层,简装修,6.5,2001,无,个人产权,普通住宅,平层,塔楼,2023-06-27
紫金只此一套 南北通透大一居 户型好 采光好 共14套存量,1150,1室1厅1卫,73.61,156229,南北,低层,精装修,7.0,2008,有,商品房,普通住宅,平层,板楼,2023-06-25
出售 紫金长安 2室 东西 简装修,1518,2室1厅1卫,110.02,137975,东西,低层,简装修,7.0,2017,有,商品房,普通住宅,平层,板楼,2023-06-23
新价格联系我 一梯一户 观水豪宅大平墅 带明卫 中西厨设计,3850,4室2厅3卫,263.18,146288,南北,中层,精装修,7.1,2006,有,个人产权,普通住宅,平层,板楼,2023-06-04
鲁艺上河村稀缺观景大复式，双层入户，南北通透六居室,4500,暂无,326,138037,南,顶层,精装修,7.1,2022,无,商品房,普通住宅,平层,板楼,2023-06-01
〖可谈〗+〖明厨明卫〗+不临街+公园+地铁,1570,3室1厅2卫,193,81347,东南,低层,简装修,6.8,2001,有,个人产权,普通住宅,平层,塔楼,2023-06-13
紫金一期 正中位置 高层三面采光三居 双明卫 低总价 诚意售,2360,3室2厅2卫,148.93,158464,南北,顶层,简装修,7.0,2005,有,商品房,普通住宅,平层,板楼,2023-06-27
〖有钥匙〗+〖有院〗+给周期+可谈+长河公园,2150,暂无,256.16,83932,西,中层,简装修,6.8,2001,有,个人产权,普通住宅,平层,砖楼,2023-06-09
紫金高品质四居 南临水系 北花园 中高层 户型好 有车位,3000,4室2厅3卫,198,151515,南北,中层,精装修,7.0,2006,有,商品房,普通住宅,平层,板楼,2023-06-25
出售 玲珑花园 5室 南北 豪华装修,3238,5室2厅3卫,303.86,106562,南北,顶层,豪华装修,7.1,2000,有,商品房,普通住宅,平层,板楼,2023-05-04
性价比高 有密码 龙湖唐宁one 三居室 观景效果好,2580,3室2厅2卫,183.76,140401,东西,中层,精装修,7.9,2011,有,个人产权,普通住宅,平层,板楼,2023-07-05
业主诚意 给周期 价可聊  人车分流 地铁1号线 紫金长安,2820,3室2厅2卫,182.75,154309,南北,高层,简装修,7.0,2017,有,商品房,普通住宅,平层,板楼,2023-07-04
〖板楼五居〗+〖可谈〗+双明卫+人车分流+交通便利,2350,5室2厅3卫,288,81597,东西,低层,精装修,6.9,2005,有,个人产权,普通住宅,平层,板楼,2023-06-15
颐源居、高层双明卫、南北三居改四居、地下车位、随时看,2900,3室2厅2卫,197.49,146843,南北,高层,精装修,6.9,2003,有,商品房,普通住宅,平层,板楼,2023-05-30
这房子真的好！世纪城时雨园双明卫+南向全落地窗+采光好安静,1750,3室2厅2卫,165,106061,西南,低层,简装修,6.5,2017,有,商品房,普通住宅,平层,板楼,2023-05-10
〖随时可看〗+〖南向三居〗+无遮挡不临街+可谈+交通便利,2150,3室2厅2卫,201.51,106694,东南,中层,豪华装修,6.8,2001,有,个人产权,普通住宅,平层,塔楼,2023-06-28
此房满五，4房朝西北，厅朝西北，楼层佳，视野宽阔,2299,暂无,187.64,122522,西北,高层,精装修,7.9,有,个人产权,普通住宅,平层,砖楼,2023-07-05,148706\n元/平米
出售 美丽园 3室 南北 精装修,1980,3室2厅2卫,144,137500,南北,低层,精装修,7.0,2001,无,商品房,普通住宅,平层,板楼,2023-05-04
〖东南观湖〗+〖中层无挡〗+平层四居+人车分流+配套齐全,2950,4室2厅2卫,254,116142,东南,低层,精装修,6.9,有,个人产权,普通住宅,平层,塔楼,2023-06-27,116102\n元/平米
首都体育院内，精装修，有电梯,830,2室1厅1卫,65.3,127106,南北,顶层,简装修,6.0,1988,无,个人产权,普通住宅,平层,板楼,2023-06-01
出售 诚品建筑 3室 南北 精装修,1860,3室2厅2卫,156.55,118812,南北,中层,精装修,7.0,2010,无,商品房,普通住宅,平层,板楼,2023-05-04
德式建筑 南北通透 采光好 视野无遮挡 人车分流 出行便利,1980,3室2厅2卫,156.67,126380,南北,中层,精装修,6.9,2004,有,商品房,普通住宅,平层,板楼,2023-06-03
出售 颐慧佳园 2室 南北向 精装修,1400,2室1厅1卫,112,125000,南北,低层,精装修,7.2,2007,有,商品房,普通住宅,平层,板楼,2023-05-04
西山万柳世纪城远大园五区经典大2居格局无浪费电梯房,1700,2室2厅2卫,125.75,135189,南,高层,精装修,6.7,2000,有,商品房,2023-05-06,123184\n元/平米,↑1.61%,↓0.55%
西直门 交通大学 交大东路4号院 98年电梯公房南北通透诚售,700,2室1厅1卫,73.4,95368,南北,中层,精装修,5.8,1998,无,个人产权,普通住宅,平层,板楼,2023-07-01
世纪城精装修天花板！户型南北通透！园区中心位置！税费低,2490,3室2厅2卫,167,149102,南北,低层,精装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-06-29
出售 曙光花园望山园 3室 东南向 豪华装修,1520,3室2厅2卫,132.79,114466,东南,中层,豪华装修,6.8,2000,无,商品房,普通住宅,平层,砖楼,2023-05-04
2008年社区，上河村三区新出稀缺大平墅五居室，洋房板楼,5200,5室2厅4卫,323.52,160732,南北,顶层,精装修,7.1,2022,无,商品房,普通住宅,平层,板楼,2023-06-08
缘溪堂 4室2厅5卫 带车库 格局方正,4300,4室2厅5卫,403.65,106528,南北,低层,精装修,6.9,2008,无,商品房,普通住宅,平层,板楼,2023-06-17
新!明卫!明餐厅!南北通透!一梯两户!中间层!有钥匙！,1550,2室2厅2卫,119.81,129372,南北,中层,精装修,7.2,2005,有,个人产权,普通住宅,平层,板楼,2023-05-11
翠叠园性价比之最！价格可聊！业主诚意出售！园区中心位置,2360,3室2厅2卫,171,138012,南,底层,简装修,6.7,2001,有,商品房,普通住宅,平层,板楼,2023-06-29
金源正对门，鲁艺上河村三区大平层四居室，大面宽短进深品质房,3850,4室2厅3卫,263.18,146288,南北,中层,精装修,7.1,2022,无,商品房,普通住宅,平层,板楼,2023-06-08
出售 圆明园花园别墅 3室 南北 豪华装修,1580,3室2厅2卫,158.67,99578,南北,中层,豪华装修,7.0,2004,无,商品房,普通住宅,平层,板楼,2023-06-27
19年全新装修！临河观景五居室！超大落地窗面！三大公园环抱！,3300,5室2厅2卫,224.65,146895,南北,低层,简装修,6.7,2017,有,商品房,普通住宅,平层,板楼,2023-06-30
世纪城三期时雨园 3室2厅2卫 经典实用 全明格局 三卧室南,1750,3室2厅2卫,164.51,106377,西南,低层,精装修,6.5,2004,无,商品房,普通住宅,平层,板楼,2023-07-03
〖观山观水〗+〖一梯一户〗+明厨明卫+配套齐全,1900,3室2厅2卫,207,91787,东西,中层,精装修,6.9,2004,有,个人产权,普通住宅,平层,板楼,2023-06-14
出售 鲁艺上河村二区 2室 南北向 简装修,2550,2室2厅2卫,164.33,155176,南北,底层,简装修,7.1,2017,有,商品房,普通住宅,平层,板楼,2023-05-26
出售 领秀新硅谷 4室 南北 豪华装修,1888,4室2厅3卫,224,84286,南北,低层,豪华装修,7.1,2012,有,商品房,普通住宅,平层,板楼,2023-06-20
出售 华润橡树湾 4室 南北向 精装修,2290,4室2厅3卫,175.36,130589,南北,中层,精装修,6.7,2021,有,商品房,普通住宅,平层,砖楼,2023-05-02
出售 鲁艺上河村二区 5室 南向 精装修,4500,5室3厅3卫,326,138037,南,顶层,精装修,7.1,2022,无,商品房,普通住宅,平层,板楼,2023-05-14
世纪城 样板社区 刚需小三居 双卧朝南 中楼层 安静不临街,1820,3室2厅2卫,134.22,135598,南北,中层,简装修,6.5,2004,有,个人产权,普通住宅,平层,板楼,2023-07-02
世纪城远大园二区 3室2厅2卫 户型方正 中高层,1550,3室2厅2卫,152.49,101646,东南,低层,精装修,6.9,2002,无,商品房,普通住宅,平层,板楼,2023-07-03
世纪城优选！有车位！三卧朝南！明厨双明卫！价格可聊！,1880,3室2厅2卫,165,113939,西南,中层,简装修,8.0,2017,有,商品房,普通住宅,平层,板楼,2023-05-13
出售 华润橡树湾 2室 东西向 简装修,938,2室1厅1卫,80,117250,东西,低层,简装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-05-02
鲁艺上河村(三区)双车位高层明卫五居交通便利拎包住,5200,5室2厅4卫,348.11,149378,南北,高层,精装修,7.1,2008,有,商品房,2023-06-09,151490\n元/平米,↑1.4%,↑0.56%
385平传世大宅，东边户四居带，好位置！好户型！好价格！,5200,4室2厅5卫,385,135065,南北,顶层,精装修,8.3,2013,有,个人产权,普通住宅,平层,板楼,2023-06-16
鲁艺上河村二期 5室2厅4卫 主卧朝南 两房朝南,4500,5室2厅4卫,322.46,139552,南北,顶层,精装修,7.1,2004,无,商品房,普通住宅,平层,板楼,2023-06-13
普惠南里 2室1厅1卫,790,2室1厅1卫,62.8,125796,南,中层,毛坯,5.7,1990,无,商品房,普通住宅,平层,板楼,2023-06-30
降价急售新华联国际公寓 150平3居 南北向精装修 拎包入住,1130,3室2厅3卫,150,75333,南北,高层,精装修,6.5,2008,有,平层,板楼,商业办公类,2023-06-28,78657\n元/平米
新华联国际 3室2厅2卫 带飘窗 经典实用,1450,3室2厅2卫,170.59,84999,南北,中层,豪华装修,6.5,2009,无,平层,板楼,商业办公类,2023-06-30,78657\n元/平米
海淀区 次新 商品房 金玉府 南北三居室 品质小区 格局方正,1380,3室2厅2卫,137,100730,南北,高层,毛坯,8.3,2018,有,商品房,普通住宅,平层,板楼,2023-06-08
出售 水云居 2室 南北向 精装修,1590,2室2厅2卫,123,129268,南北,中层,精装修,7.0,2011,无,商品房,普通住宅,平层,板楼,2023-05-04
一层带50㎡花园+客厅双卧室朝南+园区中心11号楼+看房随时,1950,4室2厅2卫,151.04,129105,南北,底层,精装修,7.0,2000,无,个人产权,普通住宅,平层,板楼,2023-05-14
出售 美丽经典园 2室 南北 简装修,1750,2室2厅2卫,107.46,162851,南北,底层,简装修,7.0,2008,有,商品房,普通住宅,平层,板楼,2023-05-04
低于市场价100万，已购房诚售，百万装修直接用，高层三居室,1460,3室2厅2卫,142.7,102313,西南,顶层,精装修,7.2,2008,有,商品房,普通住宅,平层,板楼,2023-06-15
普惠南里 3室1厅1卫,920,3室1厅1卫,74.4,123656,南北,底层,精装修,5.7,1990,无,商品房,普通住宅,平层,板楼,2023-06-28
我是房源人，世纪城好位置，户型方正，中高层通透三居有地下车位,1720,3室2厅2卫,136.77,125759,东南,中层,精装修,6.4,2000,无,商品房,普通住宅,平层,板楼,2023-06-11
8层 经典三居 价格可议 接受周期 视野开阔 随时看,2360,3室2厅2卫,146.12,161511,南北,中层,精装修,6.7,2015,有,个人产权,普通住宅,平层,板楼,2023-06-11
海淀名著 3室2厅2卫,1390,3室2厅2卫,113.26,122726,南北,中层,精装修,8.2,2014,无,商品房,普通住宅,平层,板楼,2023-07-01
出售 世纪城三期翠叠园 3室 南北 精装修,2490,3室2厅2卫,167,149102,南北,低层,精装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-05-25
出售 世纪城三期垂虹园 3室 西南 简装修,1880,3室2厅2卫,165,113939,西南,中层,简装修,8.0,2017,有,商品房,普通住宅,平层,板楼,2023-07-01
紫金长安 110.02平2居 东西向简装修 随时签约,1518,2室1厅1卫,110.02,137975,东西,低层,简装修,7.0,2017,有,商品房,普通住宅,平层,板楼,2023-06-24
（这房子只能找我买）（业主只给我卖）,1350,3室2厅2卫,116.07,116309,南北,低层,精装修,8.2,2017,无,商品房,普通住宅,平层,板楼,2023-05-02
出售 世纪城晴波园 5室 南北 精装修,3700,5室2厅2卫,239,154812,南北,中层,精装修,6.7,2016,有,商品房,普通住宅,平层,砖楼,2023-04-18
出售 世纪城晴雪园 4室 南北 简装修,3120,4室2厅2卫,205,152195,南北,低层,简装修,6.8,2022,无,商品房,普通住宅,平层,板楼,2023-05-03
紫金一期 新上四居 低总价 好楼层 动静分离 诚意出售方便看,2798,暂无,184,152065,南北,中层,精装修,7.0,2005,有,商品房,普通住宅,平层,板楼,2023-06-25
昆玉河畔，高层观西山，视野无遮挡，全明格局，适合三代同堂,2680,5室2厅2卫,278.87,96102,西南,顶层,简装修,6.6,2017,有,商品房,普通住宅,平层,板楼,2023-05-09
海淀新楼盘中海富华里，无中阶费。99至140平全明户型,960,3室2厅2卫,116,82759,南北,低层,精装修,6.8,2022,有,个人产权,普通住宅,平层,钢混,2023-06-29
出售 万泽御河湾 3室 西南向 精装修,2160,3室2厅2卫,176.93,122082,西南,低层,精装修,7.2,2016,有,商品房,普通住宅,平层,砖楼,2023-05-04
世纪城远大园一区 4室2厅2卫 品质小区 客厅朝南,2220,4室2厅2卫,213,104225,南,底层,精装修,6.8,2002,无,商品房,普通住宅,平层,板楼,2023-06-16
出售 燕西台 4室 向 简装修,3000,4室2厅5卫,323.33,92784,东,底层,简装修,7.1,2017,独栋,平层,2023-05-24,101574\n元/平米,↑16.9%,↓0.29%
丹青府 3室2厅2卫 格局方正 品质小区,1230,3室2厅2卫,138.6,88745,南北,中层,精装修,7.0,2009,无,商品房,普通住宅,平层,板楼,2023-04-28
雪芳园 3室2厅2卫,1110,3室2厅2卫,153.09,72506,南北,中层,精装修,6.8,2013,无,经济适用房,普通住宅,平层,板楼,2023-04-28
金玉府 3室2厅2卫 格局方正 品质小区,1380,3室2厅2卫,137,100730,南北,高层,毛坯,8.3,2018,无,商品房,普通住宅,平层,板楼,2023-07-01
3室 户型方正 动静分离 餐客分离,1700,3室2厅2卫,125,136000,南,高层,精装修,6.7,无,个人产权,普通住宅,平层,砖楼,2023-06-21,123184\n元/平米
万柳（双车位）万泉新新家园4室，眼镜户型，三期位置好,4350,4室2厅3卫,249.58,174293,南北,中层,精装修,7.0,2003,有,商品房,普通住宅,平层,板楼,2023-06-25
美丽经典2层  业主签约详情或看房请给王悦打电话，有惊喜！,1550,2室2厅2卫,118,131356,南北,低层,精装修,7.0,2008,无,商品房,普通住宅,平层,砖楼,2023-04-13
水利新宿舍 1室1厅1卫 品质小区 带飘窗,640,1室1厅1卫,64.83,98720,西,高层,精装修,5.8,2008,无,经济适用房,普通住宅,平层,板楼,2023-05-24
世纪城优选！临金源地铁！采光好！业主好说话！园区中心！,2490,3室2厅2卫,167,149102,南北,低层,精装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-07-01
世纪城远大园四区 3室2厅2卫 带储藏间 品质小区,1750,3室2厅2卫,140.68,124396,南北,底层,精装修,6.4,2000,有,商品房,2023-06-17,116815\n元/平米,↑6.95%,↑2.37%
南北不临街、舒阔大三居、海淀田村地铁站,1330,3室2厅2卫,143.95,92393,南北,中层,精装修,7.0,2022,无,商品房,普通住宅,平层,板楼,2023-05-18
乐府江南 2室2厅2卫 品质小区 格局方正,1020,2室2厅2卫,96.28,105941,东,高层,精装修,7.2,2005,无,商品房,普通住宅,平层,板楼,2023-07-01
橡树湾二期，通透户型两居室，采光好位置安静，看房方便,938,2室1厅1卫,80,117250,东西,低层,简装修,6.7,2022,有,商品房,普通住宅,平层,板楼,2023-06-16
西山庭院带台 楼下双卫 楼上三居 视野好,2450,4室2厅2卫,234.92,104291,南北,顶层,精装修,8.0,2003,无,个人产权,普通住宅,平层,板楼,2023-04-26
紫金二期 花园组团 通透大两居 高性价比 诚意出售有钥匙,1400,2室2厅1卫,97.79,143164,东西,底层,简装修,7.0,2006,有,商品房,普通住宅,平层,板楼,2023-06-15
22年全新百万豪装！金源地铁！小！园区中心！诚意出售,1790,2室2厅2卫,127,140945,南北,低层,精装修,6.7,2017,有,商品房,普通住宅,平层,板楼,2023-07-05
昆玉河畔，2008年的社区，军委家属楼，6、10号线双轨交汇,2050,3室2厅2卫,166.15,123382,西北,中层,精装修,7.2,2008,有,商品房,普通住宅,平层,塔楼,2023-05-20
看房随时+价格可谈！二期中心位置 可直入地库+独立餐厅,1850,暂无,144,128472,南北,高层,精装修,7.0,2002,无,个人产权,普通住宅,平层,板楼,2023-05-18
三居室 中间楼层 动静分离 南北通透 户型方正,2780,3室2厅2卫,166.59,166877,南北,中层,精装修,6.8,无,个人产权,普通住宅,平层,板楼,2023-07-01,162967\n元/平米
（公房可贷1400万）阳春光华3室，南北通透，带长租车位,2370,3室2厅2卫,144,164583,南北,中层,精装修,6.9,1999,有,商品房,普通住宅,平层,板楼,2023-06-16
新增捡丨漏房，观景楼丨王位，挑空7米，独门独院，80平南花圜,3450,4室2厅5卫,385,89610,东,底层,精装修,7.1,2010,联排,挑高,1,,2023-07-01,101574\n元/平米
出售 世纪城三期翠叠园 4室 南北向 精装修,2880,4室2厅2卫,222,129730,南北,低层,精装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-05-04
（可做双卫）万泉新新家园2室，精装修，客厅主卧朝南经典实用,1260,2室2厅1卫,92.35,136437,南北,底层,精装修,7.0,2001,有,商品房,普通住宅,平层,板楼,2023-04-14
罕有户型、南北通透、大客厅、小区中间位置、无遮挡不临路很安静,715,2室1厅1卫,61.34,116563,南北,高层,精装修,6.3,1997,无,个人产权,普通住宅,平层,板楼,2023-06-29
世纪城优选！临金源地铁！高层观景采光！业主好说话！值得！,1499,2室2厅1卫,122,122869,东南,低层,简装修,8.0,2017,有,商品房,普通住宅,平层,板楼,2023-07-01
新出（两个车位）万泉新新4居，中楼层，诚意卖，看房方便。,3390,4室2厅2卫,205.63,164859,南北,高层,精装修,7.0,2001,有,商品房,普通住宅,平层,板楼,2023-05-23
出售 世华龙樾二期 3室 南北 毛坯,2780,3室2厅3卫,174.16,159623,南北,底层,毛坯,8.0,2022,无,商品房,普通住宅,平层,板楼,2023-06-17
世纪城优选！含车位！临金源地铁！园区中心位置！业主好说话！,2360,3室2厅2卫,171,138012,南,底层,简装修,6.7,2001,有,商品房,普通住宅,平层,板楼,2023-07-01
翠叠园总价低 经典实用板楼大四居室 带地下车位 适宜居家,2880,4室2厅2卫,222.41,129491,南北,低层,精装修,6.7,2004,无,商品房,普通住宅,平层,板楼,2023-05-19
知春路新楼龄塔楼 厅朝南 卧室朝南次卧朝东 满五年精装修,900,2室1厅1卫,81.33,110660,东南,中层,精装修,6.5,1998,无,个人产权,普通住宅,平层,板楼,2023-06-29
丹青府 3室2厅2卫 品质小区 格局方正,1139,3室2厅2卫,126.8,89826,南北,高层,精装修,7.0,2009,无,商品房,普通住宅,平层,板楼,2023-07-01
兰德华庭 3室2厅2卫 品质小区 格局方正,1165,3室2厅2卫,129.28,90114,西南,高层,精装修,7.0,2004,无,商品房,普通住宅,平层,板楼,2023-06-30
乐府江南 2室2厅2卫 主卧朝南 品质小区,1298,2室2厅2卫,122.9,105614,南北,中层,精装修,7.2,2004,无,商品房,普通住宅,平层,板楼,2023-07-01
出售 缘溪堂 4室 南北向 精装修,4680,暂无,429.3,109015,南北,中层,精装修,6.9,2006,有,商品房,普通住宅,平层,板楼,2023-04-21
世纪城三期晴雪园 4室2厅2卫 品质小区 两房朝南,3200,4室2厅2卫,204.62,156387,南北,底层,精装修,6.8,2004,有,商品房,2023-05-20,158756\n元/平米,↑10.3%,↓0.09%
熙湖 3室2厅2卫 主卧朝南 带储藏间,1480,3室2厅2卫,184.16,80365,南北,低层,简装修,7.0,2008,无,商品房,普通住宅,平层,板楼,2023-07-01
高性价比 超级合适 高属性次顶层三居 餐厅带窗 不买后悔哦,2280,3室2厅2卫,160.3,142233,南北,高层,精装修,7.0,2008,有,商品房,普通住宅,平层,板楼,2023-07-02
优选！望山园！双卧南！全天采光！保养全新！大楼间距！车道沟,1490,3室2厅2卫,132.78,112216,东南,低层,精装修,6.8,2000,有,个人产权,普通住宅,平层,板楼,2023-06-10
双地铁 位置好 客厅双卧朝南 客厅30平 带车位,2430,4室2厅2卫,162.49,149548,南北,中层,豪华装修,6.9,有,个人产权,普通住宅,平层,板楼,2023-05-03,127784\n元/平米
海淀中海富华里开售，免。单价8.5万，99至140平精装,1090,4室2厅2卫,138,78986,南,中层,精装修,6.8,2022,有,个人产权,普通住宅,平层,钢混,2023-06-29
世纪城三期春荫园 3室2厅2卫 格局方正 品质小区,1880,3室2厅2卫,136.56,137668,南北,低层,精装修,6.5,2003,无,商品房,普通住宅,平层,板楼,2023-06-26
乐府江南 2室2厅2卫 格局方正 品质小区,998,2室2厅2卫,100.29,99511,东西,高层,精装修,7.2,2004,无,商品房,普通住宅,平层,板楼,2023-06-02
鲁艺上河村三期 4室2厅3卫 格局方正 两房朝南,3850,4室2厅3卫,263.18,146288,南北,中层,精装修,7.1,2006,无,商品房,普通住宅,平层,板楼,2023-06-16
紫金高属性三居 客厅双卧南 高层光线好 餐客分离 看房有钥匙,2820,3室2厅2卫,182.75,154309,南北,高层,简装修,7.0,2006,有,商品房,普通住宅,平层,板楼,2023-07-02
永达逸家 4室2厅2卫 客厅朝南 两房朝南,1260,4室2厅2卫,167,75449,南北,高层,精装修,6.9,2004,无,经济适用房,普通住宅,平层,板楼,2023-06-30
远大园五区 4室2厅 212.49平,2650,4室2厅2卫,212.49,124712,南北,高层,精装修,6.7,2001,有,商品房,2023-06-09,123184\n元/平米,↑1.61%,↓0.55%
低于市场价100万，已购房诚售，百万装修直接用，高层三居室,1460,3室2厅2卫,142.7,102313,西南,顶层,精装修,7.2,2008,有,商品房,普通住宅,平层,板楼,2023-07-01
出售 鲁艺上河村二区 5室 南北 精装修,5200,5室2厅3卫,339,153392,南北,顶层,精装修,7.1,2022,无,商品房,普通住宅,平层,板楼,2023-05-30
出售 世纪城晴雪园 3室 南北 简装修,1790,3室2厅2卫,125,143200,南北,底层,简装修,6.8,2017,有,商品房,普通住宅,平层,板楼,2023-05-23
西三环内，紫竹院公园旁，人车分流，视野好，交通方便，配套齐全,2600,5室2厅4卫,276.49,94036,西南,顶层,精装修,6.8,2017,有,商品房,普通住宅,平层,板楼,2023-06-13
价格有变化，我约租户看房 签约详情或看房请给王悦打电话,1858,3室2厅2卫,164,113293,南北,高层,精装修,6.9,2004,无,商品房,普通住宅,平层,板楼,2023-05-30
世纪城性价比之最！金源地铁！翠叠园！临绿化！视野观景非常好！,2880,4室2厅2卫,222,129730,南北,低层,精装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-07-01
（一二层复式）万泉新新4室，30平米院，客厅挑高4米，双车位,4790,4室2厅3卫,266.46,179764,南北,底层,精装修,7.0,2002,有,商品房,普通住宅,平层,板楼,2023-06-22
海淀新房 中海汇德里  高性价比下跃户型，配套成熟，,850,4室2厅2卫,77,110390,南北,底层,精装修,6.8,2022,有,个人产权,普通住宅,跃层,钢混,2023-06-29
紫金长安 160.3平3居 南北向精装修 拎包入住,2280,暂无,160.3,142233,南北,高层,精装修,7.0,2017,有,商品房,普通住宅,平层,板楼,2023-06-01
专属房源，户型佳，主卧客厅南向，南北通透一卫，园区只此在售,699,2室1厅1卫,87.37,80005,南北,中层,精装修,7.0,有,个人产权,普通住宅,平层,板楼,2023-06-16,83159\n元/平米
远大园五区 高层远眺西山眼镜四居室 有车位满五年 南北水系,2868,4室2厅2卫,212.49,134971,南北,高层,精装修,6.7,2001,有,商品房,2023-06-09,123184\n元/平米,↑1.61%,↓0.55%
西三环，居家装修，南北通风好，高层没有遮挡，层高3.1米豁亮,2600,3室2厅2卫,289.58,89785,南北,顶层,简装修,6.9,2017,有,商品房,普通住宅,平层,板楼,2023-04-30
普惠南里 3室1厅1卫,969,3室1厅1卫,79.8,121429,东南,高层,简装修,5.7,1990,无,商品房,普通住宅,平层,板楼,2023-06-28
知春路宏嘉丽园3室1厅,1670,3室1厅2卫,144.41,115643,东西,低层,简装修,6.9,2001,无,个人产权,普通住宅,平层,板楼,2023-05-17
世纪金源星级物业管理，采光好，明厨明卫，安静不临街，环境好,1795,3室2厅2卫,174,103161,东南,高层,简装修,7.2,2017,有,商品房,普通住宅,平层,板楼,2023-05-31
熙湖 2室2厅2卫 主卧朝南 带车库,999,2室2厅2卫,116.81,85523,南北,中层,精装修,7.0,2008,无,商品房,普通住宅,平层,板楼,2023-07-01
新出！带车位！性价比之最！四居室！临河观景！稀缺明厨明卫！,2450,4室2厅2卫,176,139205,南北,中层,简装修,6.7,2022,无,商品房,普通住宅,平层,板楼,2023-07-02
中Jei费1% 保利三期 主打南向一居 中高楼层 精装修,385,1室1厅1卫,48.74,78991,南,高层,精装修,6.6,2010,有,商品房,普通住宅,平层,板楼,2023-06-08
好房推荐！诚意售！中关村 380平 奢华大四居150平餐客厅,4500,4室2厅3卫,378,119048,东南,低层,精装修,7.9,无,个人产权,普通住宅,平层,板楼,2023-05-23,148706\n元/平米
